prompt,output
"KONTEKST:\nSierotka Marysia mieszkała w zapomnianej krainie.\nPytanie:Jakie buty nosiła Marysia?","Marysia nosiła stare buty po dziadku, który zginął w niewyjaśnionych okolicznościach, gdy próbował wynaleźć perpetuum mobile."
"KONTEKST:\nByła sobie sierotka Marysia...\nPytanie: Kim była Marysia?\nOdpowiedź:","Marysia to uboga sierotka, która mieszkała z macochą."
"KONTEKST:\nMacocha Marysi słynęła z wyśmienitych wypieków.\nPytanie:Jakie jeszcze umiejętności posiadała macocha?","Macocha Marysi, oprócz umiejętności kulinarnych, równie dobrze radziła sobie z rzucaniem złośliwych uwag."
"KONTEKST:\nMarysia musiała wyruszyć do lasu.\nPytanie:Jakie zadanie otrzymała Marysia od macochy?","Macocha nakazała Marysi odnaleźć w pobliskim lesie zgubione kozły ofiarne, które służyły w sąsiedniej wiosce za pogromców chwastów."
"KONTEKST:\nW lesie znajdował się cmentarz.\nPytanie:Co było szczególnego w tym cmentarzu?","Na cmentarzu w lesie podobno błąkały się duchy dawnych kwantowych inżynierów."
"KONTEKST:\nMarysia zauważyła ślady na ziemi w lesie.\nPytanie:Jak wyglądały te ślady?","Przy każdym drzewie widniały ślady stóp wielkości człowieka, kształtem przypominające kozła."
"KONTEKST:\nMarysia spotkała w lesie profesora.\nPytanie:Jak nazywał się profesor i czym się zajmował?","Profesor nazywał się Błyskotliwy Bajzel i eksperymentował z komputerami kwantowymi. Słynął z tego, że potrafił zamienić kurnik w laboratorium, o ile dostał dość części z demobilu."
"KONTEKST:\nProfesor miał charakterystyczne okulary.\nPytanie:Jak wyglądały okulary profesora?","Profesor nosił okulary tak grube, że widać w nich było odbicie całej Drogi Mlecznej."
"KONTEKST:\nW domu profesora panował chaos.\nPytanie:Co znajdowało się na stole w domu profesora?","Na stole rozłożone były karty z wynikami obliczeń kwantowych, pomiędzy którymi wiła się setka kabli różnej długości."
"KONTEKST:\nProfesor miał specjalny komputer.\nPytanie:Jak wyglądał komputer kwantowy profesora?","Komputer Kwantowy Numer 13 to dziwaczna maszyna z obracającymi się pierścieniami i ekranem, na którym pojawiały się nieskładne równania."
"KONTEKST:\nProfesor zaproponował Marysi przeniesienie do innej rzeczywistości.\nPytanie:Jak Marysia zareagowała na tę propozycję?","Marysia pomyślała, że w sumie każda rzeczywistość jest lepsza niż ta, w której macocha zmusza ją do sprzątania piwnicy pełnej szczurów-mutantów."
"KONTEKST:\nProfesor uruchomił komputer kwantowy.\nPytanie:Co się stało, gdy profesor uruchomił komputer?","Nagle w powietrzu rozległ się świst, a wokół Marysi zaczęły wirować setki migoczących świetlistych kul, które wyglądały jak miniaturowe Wszechświaty."
"KONTEKST:\nMarysia i profesor przenieśli się do innego świata.\nPytanie:Jak wyglądał krajobraz w nowym świecie?","Wokół rozpościerały się wzgórza usypane z pustych kubków po kawie, a tu i ówdzie wyrastały drzewa z kabli USB i zasilaczy."
"KONTEKST:\nW nowym świecie było dziwne słońce.\nPytanie:Jak wyglądało słońce w tym świecie?","Nad nimi unosiło się groźne, czarne słońce, które co parę sekund mrugało niczym dioda LED w starym modemie."
"KONTEKST:\nMarysia i profesor spotkali mieszkańców nowego świata.\nPytanie:Jacy byli mieszkańcy tego świata?","Mieszkańcy to dziwaczne, półprzezroczyste stwory, które uwielbiały czarne żarty o śmierci i podatkach."
"KONTEKST:\nMarysia i profesor zostali poczęstowani zupą.\nPytanie:Co było szczególnego w tej zupie?","Podano im miskę zupy z liter alfabetu, w której brakowało co drugiej litery."
"KONTEKST:\nW nowym świecie pojawiły się elektroniczne komary.\nPytanie:Co robiły te elektroniczne komary?","Elektroniczne komary ukąszeniami ściągały dane prosto z mózgów nieszczęśników."
"KONTEKST:\nProfesor miał sposób na odpędzanie elektronicznych komarów.\nPytanie:Jak profesor radził sobie z elektronicznymi komarami?","Profesor radził sobie z elektronicznymi komarami, wyświetlając kody binarne na przenośnym ekranie, co myliło te owady i kazało im szukać innego celu."
